scene,act,title,clip,startPan,endPan,amplitude,direction,signChanges,entryVelocity,exitVelocity,startVelocity,endVelocity,internalPass,classification,reasons
1,Act I,The Waiting Book,disney2/clips/DSN2-001.mp4,0.18,0.2462,0.06620000000000001,1,0,0.020000000000000556,0.11000000000000028,0.0,0.16333333333333372,True,GREEN,[]
2,Act I,The Maker Arrives,disney2/clips/DSN2-002.mp4,0.2462,0.5,0.2538,1,0,0.21999999999999809,0.2900000000000011,0.17333333333333367,0.3,True,GREEN,[]
3,Act I,The Latch Yields,disney2/clips/DSN2-003.mp4,0.5,0.7537,0.25370000000000004,1,0,0.2900000000000011,0.21999999999999778,0.30000000000000027,0.16999999999999962,True,GREEN,[]
4,Act I,The First Page,disney2/clips/DSN2-004.mp4,0.7537,0.82,0.06629999999999991,1,0,0.11000000000000475,0.01999999999999778,0.16666666666666682,0.0,True,GREEN,[]
5,Act II,A Cause Is Drawn,disney2/clips/DSN2-005.mp4,0.82,0.7864,0.03359999999999996,-1,0,-0.00999999999999889,-0.059999999999993336,0.0,-0.08666666666666814,True,STORY_RETURN_EASED,[]
6,Act II,The Ink Answers,disney2/clips/DSN2-006.mp4,0.7864,0.6359,0.15049999999999997,-1,0,-0.11999999999999827,-0.1800000000000022,-0.09000000000000119,-0.2,True,GREEN,[]
7,Act II,The Forest Rises,disney2/clips/DSN2-007.mp4,0.6359,0.4241,0.21180000000000004,-1,0,-0.20999999999999888,-0.20999999999999888,-0.20333333333333314,-0.2033333333333348,True,GREEN,[]
8,Act II,The Living Map,disney2/clips/DSN2-008.mp4,0.4241,0.2736,0.15049999999999997,-1,0,-0.1800000000000022,-0.12000000000000055,-0.19999999999999835,-0.08999999999999926,True,GREEN,[]
9,Act II,Three Roads Die,disney2/clips/DSN2-009.mp4,0.2736,0.24,0.03360000000000002,-1,0,-0.05999999999999889,-0.010000000000001666,-0.08666666666666638,0.0,True,GREEN,[]
10,Act III,The Chosen Light,disney2/clips/DSN2-010.mp4,0.24,0.253,0.013000000000000012,1,0,0.009999999999998945,0.020000000000000556,0.0,0.03333333333333333,True,STORY_RETURN_EASED,[]
11,Act III,The Golden Thread,disney2/clips/DSN2-011.mp4,0.253,0.321,0.068,1,0,0.05,0.08000000000000222,0.036666666666666334,0.09666666666666704,True,GREEN,[]
12,Act III,The False Knot,disney2/clips/DSN2-012.mp4,0.321,0.446,0.125,1,0,0.11000000000000197,0.14000000000000112,0.10333333333333306,0.1433333333333341,True,GREEN,[]
13,Act III,The True Fibre,disney2/clips/DSN2-013.mp4,0.446,0.594,0.14799999999999996,1,0,0.15,0.14999999999999444,0.14333333333333237,0.14333333333333223,True,GREEN,[]
14,Act III,The Release,disney2/clips/DSN2-014.mp4,0.594,0.719,0.125,1,0,0.13999999999999557,0.11000000000000505,0.14333333333333606,0.10333333333333297,True,GREEN,[]
15,Act III,The Circle Revealed,disney2/clips/DSN2-015.mp4,0.719,0.787,0.06800000000000006,1,0,0.08000000000000222,0.050000000000005554,0.09666666666666712,0.0366666666666663,True,GREEN,[]
16,Act III,The Hidden Spool,disney2/clips/DSN2-016.mp4,0.787,0.8,0.013000000000000012,1,0,0.01999999999999778,0.00999999999999889,0.03333333333333337,0.0,True,GREEN,[]
17,Act IV,The Handoff,disney2/clips/DSN2-017.mp4,0.8,0.7503,0.04970000000000008,-1,0,-0.010000000000009992,-0.08000000000000222,0.0,-0.12333333333333445,True,STORY_RETURN_EASED,[]
18,Act IV,The Kingdom Builds Itself,disney2/clips/DSN2-018.mp4,0.7503,0.56,0.1902999999999999,-1,0,-0.16999999999999224,-0.21999999999999778,-0.1300000000000005,-0.22333333333333075,True,GREEN,[]
19,Act V,The Human Gate,disney2/clips/DSN2-019.mp4,0.56,0.3697,0.19030000000000008,-1,0,-0.21999999999999778,-0.1699999999999978,-0.22333333333333466,-0.13000000000000037,True,GREEN,[]
20,Act VI,The Ember Remains,disney2/clips/DSN2-020.mp4,0.3697,0.32,0.049699999999999966,-1,0,-0.08000000000000256,-0.010000000000004441,-0.12333333333333271,0.0,True,GREEN,[]
21,Act VII,The Last Ember,disney2/clips/DSN2-021.mp4,0.32,0.3239,0.0039000000000000146,1,0,0.00999999999999889,0.00999999999999889,0.0,0.010000000000000741,True,STORY_RETURN_EASED,[]
22,Act VII,The Listening Emblem,disney2/clips/DSN2-022.mp4,0.3239,0.3466,0.022699999999999998,1,0,0.01999999999999778,0.03000000000000222,0.013333333333331865,0.03333333333333333,True,GREEN,[]
23,Act VII,The Second Latch,disney2/clips/DSN2-023.mp4,0.3466,0.395,0.0484,1,0,0.04000000000000111,0.05000000000000056,0.036666666666666334,0.06000000000000074,True,GREEN,[]
24,Act VII,The Night Page,disney2/clips/DSN2-024.mp4,0.395,0.466,0.07100000000000001,1,0,0.06999999999999779,0.07999999999999667,0.06333333333333191,0.08000000000000038,True,GREEN,[]
25,Act VII,The Aperture Kingdom,disney2/clips/DSN2-025.mp4,0.466,0.55,0.08400000000000002,1,0,0.08000000000000222,0.0900000000000011,0.0799999999999986,0.08666666666666814,True,GREEN,[]
26,Act VII,The Clock Without Time,disney2/clips/DSN2-026.mp4,0.55,0.634,0.08399999999999996,1,0,0.08999999999999025,0.08000000000000222,0.08666666666666453,0.07999999999999852,True,GREEN,[]
27,Act VII,The Stilled Heart,disney2/clips/DSN2-027.mp4,0.634,0.705,0.07099999999999995,1,0,0.07999999999999112,0.06999999999999779,0.0799999999999986,0.0633333333333337,True,GREEN,[]
28,Act VII,The First Pulse,disney2/clips/DSN2-028.mp4,0.705,0.7534,0.0484,1,0,0.05000000000000569,0.04000000000000666,0.060000000000000796,0.0366666666666663,True,GREEN,[]
29,Act VII,The Dark District,disney2/clips/DSN2-029.mp4,0.7534,0.7761,0.022700000000000053,1,0,0.02999999999999671,0.01999999999999778,0.03333333333333337,0.013333333333335555,True,GREEN,[]
30,Act VII,The Messenger,disney2/clips/DSN2-030.mp4,0.7761,0.78,0.0039000000000000146,1,0,0.00999999999999889,0.00999999999999889,0.009999999999998899,0.0,True,GREEN,[]
31,Act VIII,The Torn Route,disney2/clips/DSN2-031.mp4,0.78,0.7752,0.0048000000000000265,-1,0,-0.009999999999998904,-0.00999999999999889,0.0,-0.013333333333331853,True,STORY_RETURN_EASED,[]
32,Act VIII,The First Fold,disney2/clips/DSN2-032.mp4,0.7752,0.7476,0.027599999999999958,-1,0,-0.01999999999999778,-0.035000000000001835,-0.013333333333331865,-0.03999999999999926,True,GREEN,[]
33,Act VIII,The Wind Test,disney2/clips/DSN2-033.mp4,0.7476,0.6887,0.05890000000000006,-1,0,-0.050000000000005554,-0.06999999999999262,-0.043333333333335965,-0.0733333333333326,True,GREEN,[]
34,Act VIII,The Crossing,disney2/clips/DSN2-034.mp4,0.6887,0.6022,0.08650000000000002,-1,0,-0.08000000000000222,-0.0900000000000011,-0.07666666666666563,-0.09666666666666704,True,GREEN,[]
35,Act VIII,The Silent Workshop,disney2/clips/DSN2-035.mp4,0.6022,0.5,0.10219999999999996,-1,0,-0.1,-0.10000000000000112,-0.09666666666666343,-0.10333333333333297,True,GREEN,[]
36,Act VIII,The Quiet Channel,disney2/clips/DSN2-036.mp4,0.5,0.3978,0.10220000000000001,-1,0,-0.10000000000000042,-0.1,-0.10333333333333306,-0.09666666666666704,True,GREEN,[]
37,Act VIII,The Ink Wedge,disney2/clips/DSN2-037.mp4,0.3978,0.3113,0.08649999999999997,-1,0,-0.0900000000000011,-0.08000000000000222,-0.09666666666666712,-0.07666666666666556,True,GREEN,[]
38,Act VIII,The False Teeth,disney2/clips/DSN2-038.mp4,0.3113,0.2524,0.05890000000000001,-1,0,-0.06999999999999779,-0.05,-0.07333333333333451,-0.043333333333332225,True,GREEN,[]
39,Act VIII,The True Tooth,disney2/clips/DSN2-039.mp4,0.2524,0.2248,0.027600000000000013,-1,0,-0.035000000000000364,-0.020000000000000556,-0.040000000000001146,-0.013333333333333704,True,GREEN,[]
40,Act VIII,The District Wakes,disney2/clips/DSN2-040.mp4,0.2248,0.22,0.004799999999999999,-1,0,-0.009999999999998932,-0.010000000000000278,-0.013333333333333716,0.0,True,GREEN,[]
41,Act IX,Ink at the Horizon,disney2/clips/DSN2-041.mp4,0.22,0.225,0.0050000000000000044,1,0,0.009999999999998918,0.00999999999999889,0.0,0.013333333333333704,True,STORY_RETURN_EASED,[]
42,Act IX,The Gates Fold Shut,disney2/clips/DSN2-042.mp4,0.225,0.2536,0.028599999999999987,1,0,0.020000000000000556,0.039999999999998335,0.013333333333332791,0.043333333333332225,True,GREEN,[]
43,Act IX,Anchor Threads,disney2/clips/DSN2-043.mp4,0.2536,0.3146,0.061,1,0,0.05000000000000014,0.06999999999999779,0.04333333333333411,0.07666666666666556,True,GREEN,[]
44,Act IX,Rain into Channels,disney2/clips/DSN2-044.mp4,0.3146,0.4041,0.08950000000000002,1,0,0.08000000000000222,0.1,0.07666666666666748,0.1,True,GREEN,[]
45,Act IX,The Tower Takes the Wind,disney2/clips/DSN2-045.mp4,0.4041,0.51,0.1059,1,0,0.10000000000000042,0.10999999999999889,0.10000000000000009,0.10999999999999889,True,GREEN,[]
46,Act IX,One Lantern Route,disney2/clips/DSN2-046.mp4,0.51,0.6159,0.1059,1,0,0.10999999999999889,0.1,0.10999999999999899,0.1,True,GREEN,[]
47,Act IX,The District Relay,disney2/clips/DSN2-047.mp4,0.6159,0.7054,0.08950000000000002,1,0,0.1,0.08000000000000222,0.10000000000000009,0.07666666666666926,True,GREEN,[]
48,Act IX,The Storm Divides,disney2/clips/DSN2-048.mp4,0.7054,0.7664,0.06099999999999994,1,0,0.07000000000000334,0.050000000000005554,0.07666666666666563,0.043333333333332225,True,GREEN,[]
49,Act IX,The Storm Sheet,disney2/clips/DSN2-049.mp4,0.7664,0.795,0.02860000000000007,1,0,0.03999999999999556,0.01999999999999778,0.043333333333335965,0.013333333333335555,True,GREEN,[]
50,Act IX,Road after Rain,disney2/clips/DSN2-050.mp4,0.795,0.8,0.0050000000000000044,1,0,0.00999999999999889,0.00999999999999889,0.013333333333331865,0.0,True,GREEN,[]
51,Act X,The Gate Becomes a Stair,disney2/clips/DSN2-051.mp4,0.8,0.7949,0.005099999999999993,-1,0,-0.009999999999998918,-0.00999999999999889,0.0,-0.013333333333331853,True,STORY_RETURN_EASED,[]
52,Act X,The Drawer Canyon,disney2/clips/DSN2-052.mp4,0.7949,0.7652,0.02970000000000006,-1,0,-0.019999999999997835,-0.03999999999999556,-0.016666666666668533,-0.04666666666666519,True,GREEN,[]
53,Act X,Routes That Did Not Hold,disney2/clips/DSN2-053.mp4,0.7652,0.7022,0.06299999999999994,-1,0,-0.054999999999999515,-0.07000000000000334,-0.043333333333332266,-0.07666666666666556,True,GREEN,[]
54,Act X,Cracked Seals,disney2/clips/DSN2-054.mp4,0.7022,0.6095,0.0927,-1,0,-0.0900000000000011,-0.1,-0.08000000000000229,-0.10333333333333297,True,GREEN,[]
55,Act X,Kingdoms That Almost Worked,disney2/clips/DSN2-055.mp4,0.6095,0.5,0.10950000000000004,-1,0,-0.10999999999999889,-0.10999999999999889,-0.10333333333333306,-0.11333333333333186,True,GREEN,[]
56,Act X,Eight at the Inspection Wheel,disney2/clips/DSN2-056.mp4,0.5,0.3905,0.10949999999999999,-1,0,-0.10999999999999889,-0.10999999999999889,-0.11333333333333381,-0.10333333333333297,True,GREEN,[]
57,Act X,Failure Finds Weight,disney2/clips/DSN2-057.mp4,0.3905,0.2978,0.0927,-1,0,-0.1,-0.0900000000000011,-0.10333333333333306,-0.08000000000000038,True,GREEN,[]
58,Act X,Bridge of Discards,disney2/clips/DSN2-058.mp4,0.2978,0.2348,0.063,-1,0,-0.06999999999999817,-0.05499999999999972,-0.07666666666666748,-0.04333333333333315,True,GREEN,[]
59,Act X,"Eight Shadows, One Circle",disney2/clips/DSN2-059.mp4,0.2348,0.2051,0.029700000000000004,-1,0,-0.039999999999998447,-0.020000000000000556,-0.04666666666666708,-0.016666666666666666,True,GREEN,[]
60,Act X,The Door beneath the Kingdom,disney2/clips/DSN2-060.mp4,0.2051,0.2,0.005099999999999993,-1,0,-0.009999999999998918,-0.00999999999999889,-0.013333333333333716,0.0,True,GREEN,[]
61,Act XI,The Deep Door,disney2/clips/DSN2-061.mp4,0.2,0.2048,0.004799999999999999,1,0,0.009999999999998904,0.009999999999998945,0.0,0.013333333333333704,True,STORY_RETURN_EASED,[]
62,Act XI,The Spool Forest,disney2/clips/DSN2-062.mp4,0.2048,0.2324,0.027599999999999986,1,0,0.020000000000000556,0.03499999999999906,0.013333333333332791,0.04000000000000019,True,GREEN,[]
63,Act XI,The Tension Chamber,disney2/clips/DSN2-063.mp4,0.2324,0.2913,0.05890000000000001,1,0,0.05,0.06999999999999779,0.04333333333333319,0.0733333333333326,True,GREEN,[]
64,Act XI,The Counterweight Descent,disney2/clips/DSN2-064.mp4,0.2913,0.3778,0.08650000000000002,1,0,0.08000000000000222,0.0900000000000011,0.07666666666666748,0.09666666666666704,True,GREEN,[]
65,Act XI,The Unbroken Fibre,disney2/clips/DSN2-065.mp4,0.3778,0.48,0.10219999999999996,1,0,0.1,0.10000000000000112,0.09666666666666528,0.10333333333333297,True,GREEN,[]
66,Act XI,The Quiet Supports,disney2/clips/DSN2-066.mp4,0.48,0.5822,0.10220000000000007,1,0,0.10000000000000042,0.1,0.10333333333333306,0.09666666666666704,True,GREEN,[]
67,Act XI,The Threefold Braid,disney2/clips/DSN2-067.mp4,0.5822,0.6687,0.08649999999999991,1,0,0.0900000000000011,0.08000000000000222,0.09666666666666343,0.07666666666666556,True,GREEN,[]
68,Act XI,The Clockwork River,disney2/clips/DSN2-068.mp4,0.6687,0.7276,0.05890000000000006,1,0,0.07000000000000334,0.050000000000005554,0.07333333333333636,0.04333333333333592,True,GREEN,[]
69,Act XI,The Kingdom Lift,disney2/clips/DSN2-069.mp4,0.7276,0.7552,0.027599999999999958,1,0,0.03500000000000175,0.01999999999999778,0.0399999999999993,0.013333333333331853,True,GREEN,[]
70,Act XI,Sunrise Through Paper,disney2/clips/DSN2-070.mp4,0.7552,0.76,0.0048000000000000265,1,0,0.00999999999999889,0.00999999999999889,0.013333333333335567,0.0,True,GREEN,[]
71,Act XII,The Observatory Unfolds,disney2/clips/DSN2-071.mp4,0.76,0.7555,0.0045000000000000595,-1,0,-0.00999999999999889,-0.00999999999999889,0.0,-0.013333333333335555,True,STORY_RETURN_EASED,[]
72,Act XII,The Lantern Constellation,disney2/clips/DSN2-072.mp4,0.7555,0.7299,0.025599999999999956,-1,0,-0.01999999999999778,-0.030000000000002386,-0.009999999999998899,-0.03999999999999926,True,GREEN,[]
73,Act XII,The Orbits Align,disney2/clips/DSN2-073.mp4,0.7299,0.6752,0.05469999999999997,-1,0,-0.04999999999999445,-0.06000000000000444,-0.0399999999999993,-0.06999999999999963,True,GREEN,[]
74,Act XII,The Moon Iris,disney2/clips/DSN2-074.mp4,0.6752,0.5949,0.08030000000000004,-1,0,-0.07499999999999743,-0.08999999999999556,-0.0699999999999997,-0.0900000000000011,True,GREEN,[]
75,Act XII,The Ascending Route,disney2/clips/DSN2-075.mp4,0.5949,0.5,0.09489999999999998,-1,0,-0.09000000000000136,-0.1,-0.09000000000000119,-0.09666666666666704,True,GREEN,[]
76,Act XII,The Paper Planets,disney2/clips/DSN2-076.mp4,0.5,0.4051,0.09489999999999998,-1,0,-0.1,-0.0900000000000011,-0.09666666666666712,-0.08999999999999926,True,GREEN,[]
77,Act XII,The Cosmic Loom,disney2/clips/DSN2-077.mp4,0.4051,0.3248,0.08030000000000004,-1,0,-0.08999999999999556,-0.07500000000000001,-0.09000000000000119,-0.07000000000000149,True,GREEN,[]
78,Act XII,The Empty Socket,disney2/clips/DSN2-078.mp4,0.3248,0.2701,0.05469999999999997,-1,0,-0.059999999999999054,-0.05,-0.0699999999999997,-0.03999999999999926,True,GREEN,[]
79,Act XII,The Messenger Star,disney2/clips/DSN2-079.mp4,0.2701,0.2445,0.02560000000000001,-1,0,-0.03000000000000222,-0.020000000000000556,-0.040000000000001146,-0.009999999999999815,True,GREEN,[]
80,Act XII,The Outward Beam,disney2/clips/DSN2-080.mp4,0.2445,0.24,0.004500000000000004,-1,0,-0.00999999999999889,-0.010000000000000333,-0.013333333333332791,0.0,True,GREEN,[]
81,Act XIII,The Moon Passage,disney2/clips/DSN2-081.mp4,0.24,0.2446,0.004600000000000021,1,0,0.010000000000000278,0.00999999999999889,0.0,0.013333333333333704,True,STORY_RETURN_EASED,[]
82,Act XIII,The Nested Workshop,disney2/clips/DSN2-082.mp4,0.2446,0.2713,0.026699999999999974,1,0,0.020000000000000556,0.03000000000000222,0.013333333333332791,0.043333333333332225,True,GREEN,[]
83,Act XIII,The Other Volumes,disney2/clips/DSN2-083.mp4,0.2713,0.3281,0.05680000000000002,1,0,0.05,0.06000000000000444,0.040000000000001146,0.0733333333333326,True,GREEN,[]
84,Act XIII,The Escaping Thread,disney2/clips/DSN2-084.mp4,0.3281,0.4114,0.08329999999999999,1,0,0.07999999999999967,0.0900000000000011,0.0699999999999997,0.09333333333333223,True,GREEN,[]
85,Act XIII,The Paper Courier,disney2/clips/DSN2-085.mp4,0.4114,0.51,0.09860000000000002,1,0,0.1,0.1,0.09333333333333416,0.1,True,GREEN,[]
86,Act XIII,Across the Shelves,disney2/clips/DSN2-086.mp4,0.51,0.6086,0.09860000000000002,1,0,0.1,0.1,0.10000000000000009,0.09333333333333407,True,GREEN,[]
87,Act XIII,The Sleeping Shelf,disney2/clips/DSN2-087.mp4,0.6086,0.6919,0.08329999999999993,1,0,0.0900000000000011,0.08000000000000222,0.09333333333333416,0.06999999999999963,True,GREEN,[]
88,Act XIII,The Shared Spark,disney2/clips/DSN2-088.mp4,0.6919,0.7487,0.05680000000000007,1,0,0.060000000000004605,0.04999999999999445,0.07333333333333636,0.03999999999999926,True,GREEN,[]
89,Act XIII,The Library Wakes,disney2/clips/DSN2-089.mp4,0.7487,0.7754,0.026699999999999946,1,0,0.03000000000000777,0.01999999999999778,0.043333333333332266,0.013333333333331853,True,GREEN,[]
90,Act XIII,The Far Door,disney2/clips/DSN2-090.mp4,0.7754,0.78,0.0046000000000000485,1,0,0.00999999999999889,0.00999999999999889,0.013333333333335567,0.0,True,GREEN,[]
