fromScene,toScene,storyReturn,positionJump,boundaryVelocityDelta,activeVelocityDelta,directionFlip,pass,reasons
1,2,False,0,0.0,2.2400000000000064,True,False,"[""unmotivated_direction_flip"",""active_velocity_jump""]"
2,3,False,0,0.0,2.2399999999999984,True,False,"[""unmotivated_direction_flip"",""active_velocity_jump""]"
3,4,False,0,0.0,2.2400000000000064,True,False,"[""unmotivated_direction_flip"",""active_velocity_jump""]"
4,5,True,0,0.0,2.2399999999999984,True,True,[]
5,6,False,0,0.0,2.2400000000000064,True,False,"[""unmotivated_direction_flip"",""active_velocity_jump""]"
6,7,False,0,0.0,2.2399999999999984,True,False,"[""unmotivated_direction_flip"",""active_velocity_jump""]"
7,8,False,0,0.0,2.2400000000000064,True,False,"[""unmotivated_direction_flip"",""active_velocity_jump""]"
8,9,False,0,0.0,2.2399999999999984,True,False,"[""unmotivated_direction_flip"",""active_velocity_jump""]"
9,10,True,0,0.0,2.2400000000000064,True,True,[]
10,11,False,0,0.0,2.2399999999999984,True,False,"[""unmotivated_direction_flip"",""active_velocity_jump""]"
11,12,False,0,0.0,2.2400000000000064,True,False,"[""unmotivated_direction_flip"",""active_velocity_jump""]"
12,13,False,0,0.0,2.2399999999999984,True,False,"[""unmotivated_direction_flip"",""active_velocity_jump""]"
13,14,False,0,0.0,2.2400000000000064,True,False,"[""unmotivated_direction_flip"",""active_velocity_jump""]"
14,15,False,0,0.0,2.2399999999999984,True,False,"[""unmotivated_direction_flip"",""active_velocity_jump""]"
15,16,False,0,0.0,2.2400000000000064,True,False,"[""unmotivated_direction_flip"",""active_velocity_jump""]"
16,17,True,0,0.0,2.2399999999999984,True,True,[]
17,18,False,0,0.0,2.2400000000000064,True,False,"[""unmotivated_direction_flip"",""active_velocity_jump""]"
18,19,False,0,0.0,2.2399999999999984,True,False,"[""unmotivated_direction_flip"",""active_velocity_jump""]"
19,20,False,0,0.0,2.2400000000000064,True,False,"[""unmotivated_direction_flip"",""active_velocity_jump""]"
20,21,True,0,0.0,2.2399999999999984,True,True,[]
21,22,False,0,0.0,2.2400000000000064,True,False,"[""unmotivated_direction_flip"",""active_velocity_jump""]"
22,23,False,0,0.0,2.2399999999999984,True,False,"[""unmotivated_direction_flip"",""active_velocity_jump""]"
23,24,False,0,0.0,2.2400000000000064,True,False,"[""unmotivated_direction_flip"",""active_velocity_jump""]"
24,25,False,0,0.0,2.2399999999999984,True,False,"[""unmotivated_direction_flip"",""active_velocity_jump""]"
25,26,False,0,0.0,2.2400000000000064,True,False,"[""unmotivated_direction_flip"",""active_velocity_jump""]"
26,27,False,0,0.0,2.2399999999999984,True,False,"[""unmotivated_direction_flip"",""active_velocity_jump""]"
27,28,False,0,0.0,2.2400000000000064,True,False,"[""unmotivated_direction_flip"",""active_velocity_jump""]"
28,29,False,0,0.0,2.2399999999999984,True,False,"[""unmotivated_direction_flip"",""active_velocity_jump""]"
29,30,False,0,0.0,2.2400000000000064,True,False,"[""unmotivated_direction_flip"",""active_velocity_jump""]"
30,31,True,0,0.0,2.2399999999999984,True,True,[]
31,32,False,0,0.0,2.2400000000000064,True,False,"[""unmotivated_direction_flip"",""active_velocity_jump""]"
32,33,False,0,0.0,2.2399999999999984,True,False,"[""unmotivated_direction_flip"",""active_velocity_jump""]"
33,34,False,0,0.0,2.2400000000000064,True,False,"[""unmotivated_direction_flip"",""active_velocity_jump""]"
34,35,False,0,0.0,2.2399999999999984,True,False,"[""unmotivated_direction_flip"",""active_velocity_jump""]"
35,36,False,0,0.0,2.2400000000000064,True,False,"[""unmotivated_direction_flip"",""active_velocity_jump""]"
36,37,False,0,0.0,2.2399999999999984,True,False,"[""unmotivated_direction_flip"",""active_velocity_jump""]"
37,38,False,0,0.0,2.2400000000000064,True,False,"[""unmotivated_direction_flip"",""active_velocity_jump""]"
38,39,False,0,0.0,2.2399999999999984,True,False,"[""unmotivated_direction_flip"",""active_velocity_jump""]"
39,40,False,0,0.0,2.2400000000000064,True,False,"[""unmotivated_direction_flip"",""active_velocity_jump""]"
40,41,True,0,0.0,2.2399999999999984,True,True,[]
41,42,False,0,0.0,2.2400000000000064,True,False,"[""unmotivated_direction_flip"",""active_velocity_jump""]"
42,43,False,0,0.0,2.2399999999999984,True,False,"[""unmotivated_direction_flip"",""active_velocity_jump""]"
43,44,False,0,0.0,2.2400000000000064,True,False,"[""unmotivated_direction_flip"",""active_velocity_jump""]"
44,45,False,0,0.0,2.2399999999999984,True,False,"[""unmotivated_direction_flip"",""active_velocity_jump""]"
45,46,False,0,0.0,2.2400000000000064,True,False,"[""unmotivated_direction_flip"",""active_velocity_jump""]"
46,47,False,0,0.0,2.2399999999999984,True,False,"[""unmotivated_direction_flip"",""active_velocity_jump""]"
47,48,False,0,0.0,2.2400000000000064,True,False,"[""unmotivated_direction_flip"",""active_velocity_jump""]"
48,49,False,0,0.0,2.2399999999999984,True,False,"[""unmotivated_direction_flip"",""active_velocity_jump""]"
49,50,False,0,0.0,2.2400000000000064,True,False,"[""unmotivated_direction_flip"",""active_velocity_jump""]"
50,51,True,0,0.0,2.2399999999999984,True,True,[]
51,52,False,0,0.0,2.2400000000000064,True,False,"[""unmotivated_direction_flip"",""active_velocity_jump""]"
52,53,False,0,0.0,2.2399999999999984,True,False,"[""unmotivated_direction_flip"",""active_velocity_jump""]"
53,54,False,0,0.0,2.2400000000000064,True,False,"[""unmotivated_direction_flip"",""active_velocity_jump""]"
54,55,False,0,0.0,2.2399999999999984,True,False,"[""unmotivated_direction_flip"",""active_velocity_jump""]"
55,56,False,0,0.0,2.2400000000000064,True,False,"[""unmotivated_direction_flip"",""active_velocity_jump""]"
56,57,False,0,0.0,2.2399999999999984,True,False,"[""unmotivated_direction_flip"",""active_velocity_jump""]"
57,58,False,0,0.0,2.2400000000000064,True,False,"[""unmotivated_direction_flip"",""active_velocity_jump""]"
58,59,False,0,0.0,2.2399999999999984,True,False,"[""unmotivated_direction_flip"",""active_velocity_jump""]"
59,60,False,0,0.0,2.2400000000000064,True,False,"[""unmotivated_direction_flip"",""active_velocity_jump""]"
60,61,True,0,0.0,2.2399999999999984,True,True,[]
61,62,False,0,0.0,2.2400000000000064,True,False,"[""unmotivated_direction_flip"",""active_velocity_jump""]"
62,63,False,0,0.0,2.2399999999999984,True,False,"[""unmotivated_direction_flip"",""active_velocity_jump""]"
63,64,False,0,0.0,2.2400000000000064,True,False,"[""unmotivated_direction_flip"",""active_velocity_jump""]"
64,65,False,0,0.0,2.2399999999999984,True,False,"[""unmotivated_direction_flip"",""active_velocity_jump""]"
65,66,False,0,0.0,2.2400000000000064,True,False,"[""unmotivated_direction_flip"",""active_velocity_jump""]"
66,67,False,0,0.0,2.2399999999999984,True,False,"[""unmotivated_direction_flip"",""active_velocity_jump""]"
67,68,False,0,0.0,2.2400000000000064,True,False,"[""unmotivated_direction_flip"",""active_velocity_jump""]"
68,69,False,0,0.0,2.2399999999999984,True,False,"[""unmotivated_direction_flip"",""active_velocity_jump""]"
69,70,False,0,0.0,2.2400000000000064,True,False,"[""unmotivated_direction_flip"",""active_velocity_jump""]"
