scene,act,title,clip,startPan,endPan,amplitude,direction,signChanges,entryVelocity,exitVelocity,startVelocity,endVelocity,internalPass,classification,reasons
1,Act I,The Waiting Book,disney2/clips/DSN2-001.mp4,0,1,1,1,0,1.1199999999999992,1.1200000000000032,0.0,0.0,True,OK_NEEDS_EASING,[]
2,Act I,The Maker Arrives,disney2/clips/DSN2-002.mp4,1,0,1,-1,0,-1.1200000000000032,-1.1199999999999992,0.0,0.0,True,PING_PONG_REMAP,"[""active_velocity_jump"",""unmotivated_direction_flip""]"
3,Act I,The Latch Yields,disney2/clips/DSN2-003.mp4,0,1,1,1,0,1.1199999999999992,1.1200000000000032,0.0,0.0,True,PING_PONG_REMAP,"[""active_velocity_jump"",""unmotivated_direction_flip""]"
4,Act I,The First Page,disney2/clips/DSN2-004.mp4,1,0,1,-1,0,-1.1200000000000032,-1.1199999999999992,0.0,0.0,True,PING_PONG_REMAP,"[""active_velocity_jump"",""unmotivated_direction_flip""]"
5,Act II,A Cause Is Drawn,disney2/clips/DSN2-005.mp4,0,1,1,1,0,1.1199999999999992,1.1200000000000032,0.0,0.0,True,OK_NEEDS_EASING,[]
6,Act II,The Ink Answers,disney2/clips/DSN2-006.mp4,1,0,1,-1,0,-1.1200000000000032,-1.1199999999999992,0.0,0.0,True,PING_PONG_REMAP,"[""active_velocity_jump"",""unmotivated_direction_flip""]"
7,Act II,The Forest Rises,disney2/clips/DSN2-007.mp4,0,1,1,1,0,1.1199999999999992,1.1200000000000032,0.0,0.0,True,PING_PONG_REMAP,"[""active_velocity_jump"",""unmotivated_direction_flip""]"
8,Act II,The Living Map,disney2/clips/DSN2-008.mp4,1,0,1,-1,0,-1.1200000000000032,-1.1199999999999992,0.0,0.0,True,PING_PONG_REMAP,"[""active_velocity_jump"",""unmotivated_direction_flip""]"
9,Act II,Three Roads Die,disney2/clips/DSN2-009.mp4,0,1,1,1,0,1.1199999999999992,1.1200000000000032,0.0,0.0,True,PING_PONG_REMAP,"[""active_velocity_jump"",""unmotivated_direction_flip""]"
10,Act III,The Chosen Light,disney2/clips/DSN2-010.mp4,1,0,1,-1,0,-1.1200000000000032,-1.1199999999999992,0.0,0.0,True,OK_NEEDS_EASING,[]
11,Act III,The Golden Thread,disney2/clips/DSN2-011.mp4,0,1,1,1,0,1.1199999999999992,1.1200000000000032,0.0,0.0,True,PING_PONG_REMAP,"[""active_velocity_jump"",""unmotivated_direction_flip""]"
12,Act III,The False Knot,disney2/clips/DSN2-012.mp4,1,0,1,-1,0,-1.1200000000000032,-1.1199999999999992,0.0,0.0,True,PING_PONG_REMAP,"[""active_velocity_jump"",""unmotivated_direction_flip""]"
13,Act III,The True Fibre,disney2/clips/DSN2-013.mp4,0,1,1,1,0,1.1199999999999992,1.1200000000000032,0.0,0.0,True,PING_PONG_REMAP,"[""active_velocity_jump"",""unmotivated_direction_flip""]"
14,Act III,The Release,disney2/clips/DSN2-014.mp4,1,0,1,-1,0,-1.1200000000000032,-1.1199999999999992,0.0,0.0,True,PING_PONG_REMAP,"[""active_velocity_jump"",""unmotivated_direction_flip""]"
15,Act III,The Circle Revealed,disney2/clips/DSN2-015.mp4,0,1,1,1,0,1.1199999999999992,1.1200000000000032,0.0,0.0,True,PING_PONG_REMAP,"[""active_velocity_jump"",""unmotivated_direction_flip""]"
