clip,first,last,seed_family,seed_used,task_id,status,credits,file,notes
01,KF01,KF02,BOOK,[LOST],[LOST],accepted,10,wan/DSN2-001.mp4,validator OK
02,KF02,KF03,BOOK,[LOST],[LOST],accepted,10,wan/DSN2-002.mp4,validator OK
03,KF03,KF04,BOOK,[LOST],[LOST],accepted,10,wan/DSN2-003.mp4,validator OK
04,KF04,KF05,BOOK,[LOST],[LOST],accepted,10,wan/DSN2-004.mp4,validator OK
05,KF05,KF06,INK,[LOST],[LOST],accepted,10,wan/DSN2-005.mp4,validator OK
06,KF06,KF07,INK,[LOST],[LOST],accepted,10,wan/DSN2-006.mp4,validator OK
07,KF07,KF08,INK,[LOST],[LOST],accepted,10,wan/DSN2-007.mp4,validator OK
08,KF08,KF09,INK,[LOST],[LOST],accepted,10,wan/DSN2-008.mp4,validator OK
09,KF09,KF10,INK,[LOST],[LOST],accepted,10,wan/DSN2-009.mp4,validator OK
10,KF10,KF11,CHOICE,[LOST],[LOST],accepted,10,wan/DSN2-010.mp4,validator OK
11,KF11,KF12,THREAD,[LOST],[LOST],accepted,10,wan/DSN2-011.mp4,validator OK
12,KF12,KF13,THREAD,[LOST],[LOST],accepted,10,wan/DSN2-012.mp4,validator OK
13,KF13,KF14,THREAD,[LOST],[LOST],accepted,10,wan/DSN2-013.mp4,validator OK
14,KF14,KF15,THREAD,[LOST],[LOST],accepted,10,wan/DSN2-014.mp4,validator OK
15,KF15,KF16,THREAD,[LOST],[LOST],accepted,10,wan/DSN2-015.mp4,validator OK
16,KF16,KF17,THREAD,[LOST],[LOST],accepted,10,wan/DSN2-016.mp4,validator OK
17,KF17,KF18,KINGDOM,[LOST],[LOST],accepted,10,wan/DSN2-017.mp4,validator OK
18,KF18,KF19,KINGDOM,[LOST],[LOST],accepted,10,wan/DSN2-018.mp4,validator OK
19,KF19,KF20,KINGDOM,[LOST],[LOST],accepted,10,wan/DSN2-019.mp4,validator OK
20,KF20,KF01,RETURN,[LOST],[LOST],accepted,10,wan/DSN2-020.mp4,validator OK
REJECTED,,,[LOST],[LOST],[LOST],rejected/unused,170,17 unique outputs,"33 raw downloads -> 32 SHA-unique; 17 unused/rejected; 5 accepted outputs were saved outside the raw folder; task IDs/seeds [LOST]"
