"clip","attempt","provider_task_id","scene_family","seed","status","credits","saved_file","notes"
"CTS-A-001","01","","workshop","271101","pending","0","",""
"CTS-A-002","01","","workshop","271101","pending","0","",""
"CTS-A-003","01","","workshop","271101","pending","0","",""
"CTS-A-004","01","","workshop","271101","pending","0","",""
"CTS-A-005","01","","workshop","271101","pending","0","",""
"CTS-A-006","01","","workshop","271101","pending","0","",""
"CTS-A-007","01","","workshop","271101","pending","0","",""
"CTS-A-008","01","","workshop","271101","pending","0","",""
"CTS-A-009","01","","workshop","271101","pending","0","",""
"CTS-A-010","01","","workshop","271101","pending","0","",""
"CTS-A-011","01","","workshop","271101","pending","0","",""
"CTS-A-012","01","","workshop","271101","pending","0","",""
"CTS-A-013","01","","workshop","271101","pending","0","",""
"CTS-A-014","01","","workshop","271101","pending","0","",""
"CTS-A-015","01","","workshop","271101","pending","0","",""
"CTS-A-016","01","","workshop","271101","pending","0","",""
"CTS-A-017","01","","workshop","271101","pending","0","",""
"CTS-A-018","01","","workshop","271101","pending","0","",""
"CTS-A-019","01","","workshop","271101","pending","0","",""
"CTS-A-020","01","","workshop","271101","pending","0","",""
"CTS-A-021","01","","workshop","271101","pending","0","",""
"CTS-A-022","01","","workshop","271101","pending","0","",""
"CTS-A-023","01","","workshop","271101","pending","0","",""
"CTS-A-024","01","","threshold-road","271102","pending","0","",""
"CTS-A-025","01","","threshold-road","271102","pending","0","",""
"CTS-A-026","01","","marble-hall","271103","pending","0","",""
"CTS-A-027","01","","marble-hall","271103","pending","0","",""
"CTS-A-028","01","","sky-islands","271104","pending","0","",""
"CTS-A-029","01","","sky-islands","271104","pending","0","",""
"CTS-A-030","01","","low-poly-jungle","271105","pending","0","",""
"CTS-A-031","01","","low-poly-jungle","271105","pending","0","",""
"CTS-A-032","01","","artillery-hill","271106","pending","0","",""
"CTS-A-033","01","","threshold-road","271102","pending","0","",""
"CTS-A-034","01","","workshop","271101","pending","0","",""
"CTS-A-035","01","","workshop","271101","pending","0","",""
"CTS-A-036","01","","workshop","271101","pending","0","",""
"CTS-A-037","01","","workshop","271101","pending","0","",""
"CTS-A-038","01","","workshop","271101","pending","0","",""
"CTS-A-039","01","","workshop","271101","pending","0","",""
"CTS-A-040","01","","workshop","271101","pending","0","",""
